"modal","nome_o","nome_d","km","minutos","kmh"
"Rodoviário","São Luís","Teresina",427.69,323,80
"Rodoviário","São Luís","Fortaleza",893.9,622,87
"Rodoviário","São Luís","Recife",1582.57,1154,82
"Rodoviário","São Luís","Salvador",1579.59,1188,80
"Rodoviário","São Luís","Belo Horizonte",2407.34,1781,81
"Rodoviário","São Luís","Rio de Janeiro",2837.16,2102,82
"Rodoviário","São Luís","São Paulo",2984.15,2092,87
"Rodoviário","São Luís","Curitiba",3306.83,2338,86
"Rodoviário","São Luís","Porto Alegre",4067.97,2833,87
"Rodoviário","São Luís","Brasília",2012.63,1444,84
"Rodoviário","Vitória","Rio de Janeiro",519.76,434,74
"Rodoviário","Vitória","São Paulo",954.59,742,80
"Rodoviário","Vitória","Florianópolis",1660.55,1250,83
"Rodoviário","Vitória","Porto Alegre",2106.53,1544,85
"Rodoviário","Vitória","Cuiabá",2102.59,1516,84
"Rodoviário","Vitória","Brasília",1249.29,861,89
"Rodoviário","Rio de Janeiro","São Paulo",448.94,328,87
"Rodoviário","Rio de Janeiro","Curitiba",868.39,637,86
"Rodoviário","Rio de Janeiro","Florianópolis",1154.9,836,87
"Rodoviário","Rio de Janeiro","Porto Alegre",1600.88,1129,88
"Rodoviário","Rio de Janeiro","Campo Grande",1438.34,988,92
"Rodoviário","Rio de Janeiro","Cuiabá",1953.69,1375,88
"Rodoviário","Rio de Janeiro","Goiânia",1304.84,878,93
"Rodoviário","Rio de Janeiro","Brasília",1174.44,802,92
"Rodoviário","Teresina","Fortaleza",595.29,429,84
"Rodoviário","Teresina","Recife",1154.93,834,83
"Rodoviário","Teresina","Salvador",1151.94,867,80
"Rodoviário","Teresina","Belo Horizonte",2019.31,1483,82
"Rodoviário","Teresina","Rio de Janeiro",2449.12,1804,82
"Rodoviário","Teresina","São Paulo",2655.24,1827,89
"Rodoviário","Teresina","Brasília",1683.71,1178,86
"Rodoviário","Fortaleza","Natal",543.09,411,80
"Rodoviário","Fortaleza","Recife",797.09,586,82
"Rodoviário","Fortaleza","Maceió",940.39,691,82
"Rodoviário","Fortaleza","Salvador",1203.63,887,82
"Rodoviário","Fortaleza","Belo Horizonte",2315.97,1705,82
"Rodoviário","Fortaleza","Rio de Janeiro",2602.52,1910,82
"Rodoviário","Fortaleza","São Paulo",2904.83,2106,84
"Rodoviário","Fortaleza","Curitiba",3227.51,2352,84
"Rodoviário","Fortaleza","Porto Alegre",3988.65,2848,85
"Rodoviário","Fortaleza","Goiânia",2135.65,1603,80
"Rodoviário","Fortaleza","Brasília",1933.31,1458,80
"Rodoviário","Campo Grande","Fortaleza",319.08,245,79
"Rodoviário","Campo Grande","Natal",266.2,204,79
"Rodoviário","Natal","Recife",292.1,219,81
"Rodoviário","Natal","Maceió",545.45,382,86
"Rodoviário","Natal","Salvador",1099.07,784,85
"Rodoviário","Natal","Belo Horizonte",2223.64,1627,83
"Rodoviário","Natal","Rio de Janeiro",2510.18,1832,83
"Rodoviário","Natal","São Paulo",2809.04,2049,84
"Rodoviário","Natal","Brasília",2217.23,1652,81
"Rodoviário","Belém","Natal",133.51,105,77
"Rodoviário","Belém","João Pessoa",119.78,91,81
"Rodoviário","Belém","Recife",220.15,168,80
"Rodoviário","Boa Vista","João Pessoa",171.14,126,83
"Rodoviário","Boa Vista","Recife",236.99,174,83
"Rodoviário","João Pessoa","Recife",120.61,93,80
